ds,measured_signal,timegpt_cleaned,timegpt_noisy
2025-09-01,9.729122368684164,,
2025-09-02,9.77714910985271,,
2025-09-03,9.824974216959001,,
2025-09-04,9.872498444831331,,
2025-09-05,9.919623318139873,,
2025-09-06,9.966251378479727,,
2025-09-07,10.012286428905373,,
2025-09-08,10.057633775304087,,
2025-09-09,10.10220046400377,,
2025-09-10,10.145895515020076,,
2025-09-11,10.188630150358613,,
2025-09-12,10.23031801680036,10.638689,10.474141
2025-09-13,10.270875402612342,10.533215,10.3456745
2025-09-14,10.310221447640757,10.476104,10.32007
2025-09-15,10.348278346260347,10.38068,10.216725
2025-09-16,10.384971542671638,10.221373,9.999657
2025-09-17,10.42022991805692,10.345044,10.219986
2025-09-18,10.453985969126233,10.694155,10.564854
2025-09-19,10.486175977606074,10.734231,10.574825
2025-09-20,10.516740170246353,10.635732,10.4183035
2025-09-21,10.54562286894479,10.621836,10.409922
2025-09-22,10.572772630612759,10.50715,10.269678
2025-09-23,10.598142376432222,10.302969,10.043725
2025-09-24,10.621689510179987,10.393819,10.213249
2025-09-25,10.643376025322915,10.721,10.557594
2025-09-26,10.663168600615817,10.742425,10.522556
