ds,measured_signal,timegpt_cleaned,timegpt_noisy
2023-01-01,0.8,,
2023-01-02,0.8110101847259302,,
2023-01-03,0.8200190901275604,,
2023-01-04,0.8270340362770431,,
2023-01-05,0.8320673361223018,,
2023-01-06,0.8351362641672967,,
2023-01-07,0.8362630127262946,,
2023-01-08,0.8354746358617507,,
2023-01-09,0.8328029811462612,,
2023-01-10,0.8282846094195291,,
2023-01-11,0.8219607027413669,,
2023-01-12,0.8138769607713074,,
2023-01-13,0.8040834858343928,,
2023-01-14,0.7926346569610359,,
2023-01-15,0.7795889932164695,,
2023-01-16,0.7650090066621217,,
2023-01-17,0.7489610453172187,,
2023-01-18,0.7315151265139659,,
2023-01-19,0.7127447610637115,,
2023-01-20,0.6927267686745175,,
2023-01-21,0.671541085082465,,
2023-01-22,0.6492705613797818,,
2023-01-23,0.6260007560424179,,
2023-01-24,0.6018197201779792,,
2023-01-25,0.5768177765319127,,
2023-01-26,0.5510872928054615,,
2023-01-27,0.5247224498531646,,
2023-01-28,0.4978190053404875,,
2023-01-29,0.4704740534535522,,
2023-01-30,0.4427857812628125,,
2023-01-31,0.4148532223509068,,
2023-02-01,0.38677600832177006,,
2023-02-02,0.3586541188133917,,
2023-02-03,0.330587630640356,,
2023-02-04,0.3026764666944796,,
2023-02-05,0.275020145232466,,
2023-02-06,0.24771753017852843,,
2023-02-07,0.2208665830673902,,
2023-02-08,0.1945641172489625,,
2023-02-09,0.16890555497033544,,
2023-02-10,0.14398468794351288,,
2023-02-11,0.11989344199858903,,
2023-02-12,0.0967216464118359,,
2023-02-13,0.07455680848645763,,
2023-02-14,0.0534838939506182,,
2023-02-15,0.033585113722775506,,
2023-02-16,0.014939717578407063,,
2023-02-17,-0.002376204765067391,,
2023-02-18,-0.018289914646946404,,
2023-02-19,-0.03273220706708935,,
2023-02-20,-0.045637584437575485,,
2023-02-21,-0.05694442104697073,,
2023-02-22,-0.06659511782526861,,
2023-02-23,-0.07453624702185069,,
2023-02-24,-0.08071868643408342,,
2023-02-25,-0.08509774285033589,,
2023-02-26,-0.0876332643982135,,
2023-02-27,-0.0882897415165943,,
2023-02-28,-0.08703639629854165,,
2023-03-01,-0.08384725998129472,,
2023-03-02,-0.07870123838922527,,
2023-03-03,-0.07158216516581495,,
2023-03-04,-0.06247884266130066,,
2023-03-05,-0.05138507037353812,,
2023-03-06,-0.038299660870821595,,
2023-03-07,-0.023226443156734833,,
2023-03-08,-0.006174253468572366,,
2023-03-09,0.012843086467664966,,
2023-03-10,0.03380680367127964,,
2023-03-11,0.05669322054418946,,
2023-03-12,0.08147381379478003,,
2023-03-13,0.10811528550075955,,
2023-03-14,0.1365796461330796,,
2023-03-15,0.16682430933302406,,
2023-03-16,0.19880219820513811,,
2023-03-17,0.23246186285982295,,
2023-03-18,0.2677476089112495,,
2023-03-19,0.30459963660880496,,
2023-03-20,0.3429541902536566,,
2023-03-21,0.38274371752625524,,
2023-03-22,0.4238970383257813,,
2023-03-23,0.46633952269871004,,
2023-03-24,0.5099932774109105,,
2023-03-25,0.5547773406960523,,
2023-03-26,0.6006078846925972,,
2023-03-27,0.6473984250624174,,
2023-03-28,0.6950600372660842,,
2023-03-29,0.7435015789532,,
2023-03-30,0.7926299179108333,,
2023-03-31,0.8423501649991972,,
2023-04-01,0.8925659114912148,,
2023-04-02,0.9431794702215914,,
2023-04-03,0.9940921199414721,,
2023-04-04,1.0452043522667267,,
2023-04-05,1.0964161206014202,,
2023-04-06,1.1476270904130679,,
2023-04-07,1.1987368902328983,,
2023-04-08,1.2496453627525204,,
2023-04-09,1.3002528153881625,,
2023-04-10,1.3504602696849712,,
2023-04-11,1.4001697089367704,,
2023-04-12,1.4492843234011488,,
2023-04-13,1.4977087524957626,,
2023-04-14,1.5453493233693052,,
2023-04-15,1.5921142852496697,,
2023-04-16,1.6379140389824136,,
2023-04-17,1.6826613611846657,,
2023-04-18,1.7262716224531225,,
2023-04-19,1.7686629990796465,,
2023-04-20,1.809756677744263,,
2023-04-21,1.8494770526729196,,
2023-04-22,1.8877519147662607,,
2023-04-23,1.9245126322257606,,
2023-04-24,1.9596943222248706,,
2023-04-25,1.9932360131952473,,
2023-04-26,2.0250807973216456,,
2023-04-27,2.0551759728635686,,
2023-04-28,2.0834731759472613,,
2023-04-29,2.1099285014979916,,
2023-04-30,2.1345026130097637,,
2023-05-01,2.157160840877571,,
2023-05-02,2.177873269045932,,
2023-05-03,2.19661480975672,,
2023-05-04,2.2133652662090975,,
2023-05-05,2.228109382974639,,
2023-05-06,2.240836884041404,,
2023-05-07,2.251542498391686,,
2023-05-08,2.2602259730494003,,
2023-05-09,2.2668920735644438,,
2023-05-10,2.2715505719328384,,
2023-05-11,2.2742162219829116,,
2023-05-12,2.2749087222891893,,
2023-05-13,2.2736526667068824,,
2023-05-14,2.2704774826508745,,
2023-05-15,2.2654173572737997,,
2023-05-16,2.258511151728107,,
2023-05-17,2.249802303726857,,
2023-05-18,2.239338718647289,,
2023-05-19,2.2271726494499116,,
2023-05-20,2.213360565713852,,
2023-05-21,2.1979630121164866,,
2023-05-22,2.1810444567117884,,
2023-05-23,2.1626731293873904,,
2023-05-24,2.1429208509049538,,
2023-05-25,2.1218628529520105,,
2023-05-26,2.0995775896559725,,
2023-05-27,2.0761465410323665,,
2023-05-28,2.051654008859571,,
2023-05-29,2.0261869054912807,,
2023-05-30,1.9998345361356251,,
