unique_id,ds,y
AECO,2026-04-01 00:00:00,801.976
AECO,2026-04-01 01:00:00,758.735
AECO,2026-04-01 02:00:00,738.104
AECO,2026-04-01 03:00:00,720.907
AECO,2026-04-01 04:00:00,738.202
AECO,2026-04-01 05:00:00,767.326
AECO,2026-04-01 06:00:00,834.11
AECO,2026-04-01 07:00:00,850.198
AECO,2026-04-01 08:00:00,810.806
AECO,2026-04-01 09:00:00,679.676
AECO,2026-04-01 10:00:00,596.423
AECO,2026-04-01 11:00:00,536.042
AECO,2026-04-01 12:00:00,570.814
AECO,2026-04-01 13:00:00,633.397
AECO,2026-04-01 14:00:00,740.423
AECO,2026-04-01 15:00:00,843.534
AECO,2026-04-01 16:00:00,865.4
AECO,2026-04-01 17:00:00,970.683
AECO,2026-04-01 18:00:00,1046.833
AECO,2026-04-01 19:00:00,1094.784
AECO,2026-04-01 20:00:00,1096.692
AECO,2026-04-01 21:00:00,1018.68
AECO,2026-04-01 22:00:00,946.085
AECO,2026-04-01 23:00:00,862.614
AECO,2026-04-02 00:00:00,762.04
AECO,2026-04-02 01:00:00,752.761
AECO,2026-04-02 02:00:00,730.667
AECO,2026-04-02 03:00:00,713.022
AECO,2026-04-02 04:00:00,718.876
AECO,2026-04-02 05:00:00,762.639
AECO,2026-04-02 06:00:00,832.118
AECO,2026-04-02 07:00:00,888.172
AECO,2026-04-02 08:00:00,904.551
AECO,2026-04-02 09:00:00,890.163
AECO,2026-04-02 10:00:00,863.862
AECO,2026-04-02 11:00:00,852.476
AECO,2026-04-02 12:00:00,846.256
AECO,2026-04-02 13:00:00,837.315
AECO,2026-04-02 14:00:00,840.354
AECO,2026-04-02 15:00:00,860.716
AECO,2026-04-02 16:00:00,917.272
AECO,2026-04-02 17:00:00,975.057
AECO,2026-04-02 18:00:00,999.02
AECO,2026-04-02 19:00:00,1056.366
AECO,2026-04-02 20:00:00,1061.378
AECO,2026-04-02 21:00:00,1018.611
AECO,2026-04-02 22:00:00,957.906
AECO,2026-04-02 23:00:00,896.655
AECO,2026-04-03 00:00:00,847.626
AECO,2026-04-03 01:00:00,818.031
AECO,2026-04-03 02:00:00,799.492
AECO,2026-04-03 03:00:00,789.329
AECO,2026-04-03 04:00:00,795.837
AECO,2026-04-03 05:00:00,826.695
AECO,2026-04-03 06:00:00,875.917
AECO,2026-04-03 07:00:00,893.721
AECO,2026-04-03 08:00:00,877.362
AECO,2026-04-03 09:00:00,849.243
AECO,2026-04-03 10:00:00,811.742
AECO,2026-04-03 11:00:00,789.916
AECO,2026-04-03 12:00:00,711.997
AECO,2026-04-03 13:00:00,591.685
AECO,2026-04-03 14:00:00,535.581
AECO,2026-04-03 15:00:00,540.869
AECO,2026-04-03 16:00:00,650.12
AECO,2026-04-03 17:00:00,792.672
AECO,2026-04-03 18:00:00,906.699
AECO,2026-04-03 19:00:00,976.7
AECO,2026-04-03 20:00:00,992.064
AECO,2026-04-03 21:00:00,956.348
AECO,2026-04-03 22:00:00,902.047
AECO,2026-04-03 23:00:00,847.219
AECO,2026-04-04 00:00:00,796.89
AECO,2026-04-04 01:00:00,756.82
AECO,2026-04-04 02:00:00,733.137
AECO,2026-04-04 03:00:00,717.349
AECO,2026-04-04 04:00:00,718.832
AECO,2026-04-04 05:00:00,732.293
AECO,2026-04-04 06:00:00,757.411
AECO,2026-04-04 07:00:00,743.559
AECO,2026-04-04 08:00:00,697.93
AECO,2026-04-04 09:00:00,629.292
AECO,2026-04-04 10:00:00,559.676
AECO,2026-04-04 11:00:00,539.823
AECO,2026-04-04 12:00:00,560.758
AECO,2026-04-04 13:00:00,639.146
AECO,2026-04-04 14:00:00,623.399
AECO,2026-04-04 15:00:00,680.475
AECO,2026-04-04 16:00:00,775.799
AECO,2026-04-04 17:00:00,879.166
AECO,2026-04-04 18:00:00,932.67
AECO,2026-04-04 19:00:00,961.15
AECO,2026-04-04 20:00:00,955.285
AECO,2026-04-04 21:00:00,915.158
AECO,2026-04-04 22:00:00,863.386
AECO,2026-04-04 23:00:00,810.599
AECO,2026-04-05 00:00:00,770.876
AECO,2026-04-05 01:00:00,735.86
AECO,2026-04-05 02:00:00,716.644
AECO,2026-04-05 03:00:00,701.937
AECO,2026-04-05 04:00:00,705.428
AECO,2026-04-05 05:00:00,716.13
AECO,2026-04-05 06:00:00,734.331
AECO,2026-04-05 07:00:00,729.842
AECO,2026-04-05 08:00:00,701.522
AECO,2026-04-05 09:00:00,695.192
AECO,2026-04-05 10:00:00,700.133
AECO,2026-04-05 11:00:00,813.208
AECO,2026-04-05 12:00:00,827.21
AECO,2026-04-05 13:00:00,862.472
AECO,2026-04-05 14:00:00,863.425
AECO,2026-04-05 15:00:00,859.135
AECO,2026-04-05 16:00:00,840.367
AECO,2026-04-05 17:00:00,825.039
AECO,2026-04-05 18:00:00,816.887
