unique_id,ds,y,store_nbr,family,city,state,type,cluster,onpromotion,oil_price,is_holiday
1_BEVERAGES,2016-01-01,0.0,1,BEVERAGES,Quito,Pichincha,D,13,0,37.13,1
1_BEVERAGES,2016-01-02,1856.0,1,BEVERAGES,Quito,Pichincha,D,13,7,,0
1_BEVERAGES,2016-01-03,1048.0,1,BEVERAGES,Quito,Pichincha,D,13,1,,0
1_BEVERAGES,2016-01-04,3005.0,1,BEVERAGES,Quito,Pichincha,D,13,3,36.81,0
1_BEVERAGES,2016-01-05,2374.0,1,BEVERAGES,Quito,Pichincha,D,13,9,35.97,0
1_BEVERAGES,2016-01-06,2799.0,1,BEVERAGES,Quito,Pichincha,D,13,5,33.97,0
1_BEVERAGES,2016-01-07,2248.0,1,BEVERAGES,Quito,Pichincha,D,13,0,33.29,0
1_BEVERAGES,2016-01-08,2208.0,1,BEVERAGES,Quito,Pichincha,D,13,1,33.2,0
1_BEVERAGES,2016-01-09,2360.0,1,BEVERAGES,Quito,Pichincha,D,13,0,,0
1_BEVERAGES,2016-01-10,991.0,1,BEVERAGES,Quito,Pichincha,D,13,4,,0
1_BEVERAGES,2016-01-11,2001.0,1,BEVERAGES,Quito,Pichincha,D,13,1,31.42,0
1_BEVERAGES,2016-01-12,2339.0,1,BEVERAGES,Quito,Pichincha,D,13,4,30.42,0
1_BEVERAGES,2016-01-13,2141.0,1,BEVERAGES,Quito,Pichincha,D,13,4,30.42,0
1_BEVERAGES,2016-01-14,2422.0,1,BEVERAGES,Quito,Pichincha,D,13,4,31.22,0
1_BEVERAGES,2016-01-15,2100.0,1,BEVERAGES,Quito,Pichincha,D,13,2,29.45,0
1_BEVERAGES,2016-01-16,2457.0,1,BEVERAGES,Quito,Pichincha,D,13,3,,0
1_BEVERAGES,2016-01-17,1173.0,1,BEVERAGES,Quito,Pichincha,D,13,3,,0
1_BEVERAGES,2016-01-18,2399.0,1,BEVERAGES,Quito,Pichincha,D,13,1,29.45,0
1_BEVERAGES,2016-01-19,1997.0,1,BEVERAGES,Quito,Pichincha,D,13,3,28.47,0
1_BEVERAGES,2016-01-20,2376.0,1,BEVERAGES,Quito,Pichincha,D,13,5,26.68,0
1_BEVERAGES,2016-01-21,1771.0,1,BEVERAGES,Quito,Pichincha,D,13,0,29.55,0
1_BEVERAGES,2016-01-22,2071.0,1,BEVERAGES,Quito,Pichincha,D,13,0,32.07,0
1_BEVERAGES,2016-01-23,2209.0,1,BEVERAGES,Quito,Pichincha,D,13,0,,0
1_BEVERAGES,2016-01-24,956.0,1,BEVERAGES,Quito,Pichincha,D,13,0,,0
1_BEVERAGES,2016-01-25,2047.0,1,BEVERAGES,Quito,Pichincha,D,13,0,30.31,0
1_BEVERAGES,2016-01-26,1882.0,1,BEVERAGES,Quito,Pichincha,D,13,2,29.54,0
1_BEVERAGES,2016-01-27,2131.0,1,BEVERAGES,Quito,Pichincha,D,13,2,32.32,0
1_BEVERAGES,2016-01-28,1751.0,1,BEVERAGES,Quito,Pichincha,D,13,23,33.21,0
1_BEVERAGES,2016-01-29,2391.0,1,BEVERAGES,Quito,Pichincha,D,13,24,33.66,0
1_BEVERAGES,2016-01-30,2340.0,1,BEVERAGES,Quito,Pichincha,D,13,25,,0
1_BEVERAGES,2016-01-31,1023.0,1,BEVERAGES,Quito,Pichincha,D,13,17,,0
1_BEVERAGES,2016-02-01,2450.0,1,BEVERAGES,Quito,Pichincha,D,13,25,31.62,0
1_BEVERAGES,2016-02-02,1965.0,1,BEVERAGES,Quito,Pichincha,D,13,30,29.9,0
1_BEVERAGES,2016-02-03,2769.0,1,BEVERAGES,Quito,Pichincha,D,13,30,32.29,0
1_BEVERAGES,2016-02-04,2083.0,1,BEVERAGES,Quito,Pichincha,D,13,29,31.63,0
1_BEVERAGES,2016-02-05,2028.0,1,BEVERAGES,Quito,Pichincha,D,13,31,30.86,0
1_BEVERAGES,2016-02-06,2012.0,1,BEVERAGES,Quito,Pichincha,D,13,34,,0
1_BEVERAGES,2016-02-07,639.0,1,BEVERAGES,Quito,Pichincha,D,13,17,,0
1_BEVERAGES,2016-02-08,531.0,1,BEVERAGES,Quito,Pichincha,D,13,17,29.71,1
1_BEVERAGES,2016-02-09,742.0,1,BEVERAGES,Quito,Pichincha,D,13,20,27.96,1
1_BEVERAGES,2016-02-10,2247.0,1,BEVERAGES,Quito,Pichincha,D,13,30,27.54,0
1_BEVERAGES,2016-02-11,2085.0,1,BEVERAGES,Quito,Pichincha,D,13,31,26.19,0
1_BEVERAGES,2016-02-12,2522.0,1,BEVERAGES,Quito,Pichincha,D,13,28,29.32,0
1_BEVERAGES,2016-02-13,2281.0,1,BEVERAGES,Quito,Pichincha,D,13,28,,0
1_BEVERAGES,2016-02-14,974.0,1,BEVERAGES,Quito,Pichincha,D,13,22,,0
1_BEVERAGES,2016-02-15,2239.0,1,BEVERAGES,Quito,Pichincha,D,13,27,29.32,0
1_BEVERAGES,2016-02-16,2539.0,1,BEVERAGES,Quito,Pichincha,D,13,7,29.05,0
1_BEVERAGES,2016-02-17,2313.0,1,BEVERAGES,Quito,Pichincha,D,13,7,30.68,0
1_BEVERAGES,2016-02-18,2012.0,1,BEVERAGES,Quito,Pichincha,D,13,5,30.77,0
1_BEVERAGES,2016-02-19,2371.0,1,BEVERAGES,Quito,Pichincha,D,13,6,29.59,0
1_BEVERAGES,2016-02-20,2760.0,1,BEVERAGES,Quito,Pichincha,D,13,8,,0
1_BEVERAGES,2016-02-21,1211.0,1,BEVERAGES,Quito,Pichincha,D,13,5,,0
1_BEVERAGES,2016-02-22,2353.0,1,BEVERAGES,Quito,Pichincha,D,13,7,31.37,0
1_BEVERAGES,2016-02-23,2115.0,1,BEVERAGES,Quito,Pichincha,D,13,5,31.84,0
1_BEVERAGES,2016-02-24,2097.0,1,BEVERAGES,Quito,Pichincha,D,13,7,30.35,0
1_BEVERAGES,2016-02-25,1854.0,1,BEVERAGES,Quito,Pichincha,D,13,7,31.4,0
1_BEVERAGES,2016-02-26,2171.0,1,BEVERAGES,Quito,Pichincha,D,13,51,31.65,0
1_BEVERAGES,2016-02-27,2471.0,1,BEVERAGES,Quito,Pichincha,D,13,56,,0
1_BEVERAGES,2016-02-28,904.0,1,BEVERAGES,Quito,Pichincha,D,13,44,,0
1_BEVERAGES,2016-02-29,2282.0,1,BEVERAGES,Quito,Pichincha,D,13,19,32.74,0
1_BEVERAGES,2016-03-01,2371.0,1,BEVERAGES,Quito,Pichincha,D,13,15,34.39,0
1_BEVERAGES,2016-03-02,2432.0,1,BEVERAGES,Quito,Pichincha,D,13,15,34.57,0
1_BEVERAGES,2016-03-03,2013.0,1,BEVERAGES,Quito,Pichincha,D,13,16,34.56,0
1_BEVERAGES,2016-03-04,2342.0,1,BEVERAGES,Quito,Pichincha,D,13,16,35.91,0
1_BEVERAGES,2016-03-05,2562.0,1,BEVERAGES,Quito,Pichincha,D,13,17,,0
1_BEVERAGES,2016-03-06,1048.0,1,BEVERAGES,Quito,Pichincha,D,13,11,,0
1_BEVERAGES,2016-03-07,2165.0,1,BEVERAGES,Quito,Pichincha,D,13,11,37.9,0
1_BEVERAGES,2016-03-08,2027.0,1,BEVERAGES,Quito,Pichincha,D,13,0,36.67,0
1_BEVERAGES,2016-03-09,2224.0,1,BEVERAGES,Quito,Pichincha,D,13,10,37.62,0
1_BEVERAGES,2016-03-10,1897.0,1,BEVERAGES,Quito,Pichincha,D,13,9,37.77,0
1_BEVERAGES,2016-03-11,2208.0,1,BEVERAGES,Quito,Pichincha,D,13,13,38.51,0
1_BEVERAGES,2016-03-12,2362.0,1,BEVERAGES,Quito,Pichincha,D,13,11,,0
1_BEVERAGES,2016-03-13,970.0,1,BEVERAGES,Quito,Pichincha,D,13,7,,0
1_BEVERAGES,2016-03-14,2238.0,1,BEVERAGES,Quito,Pichincha,D,13,13,37.2,0
1_BEVERAGES,2016-03-15,2049.0,1,BEVERAGES,Quito,Pichincha,D,13,16,36.32,0
1_BEVERAGES,2016-03-16,2329.0,1,BEVERAGES,Quito,Pichincha,D,13,10,38.43,0
1_BEVERAGES,2016-03-17,2101.0,1,BEVERAGES,Quito,Pichincha,D,13,10,40.17,0
1_BEVERAGES,2016-03-18,2224.0,1,BEVERAGES,Quito,Pichincha,D,13,8,39.47,0
1_BEVERAGES,2016-03-19,2302.0,1,BEVERAGES,Quito,Pichincha,D,13,7,,0
1_BEVERAGES,2016-03-20,1067.0,1,BEVERAGES,Quito,Pichincha,D,13,3,,0
1_BEVERAGES,2016-03-21,2149.0,1,BEVERAGES,Quito,Pichincha,D,13,3,39.91,0
1_BEVERAGES,2016-03-22,1991.0,1,BEVERAGES,Quito,Pichincha,D,13,6,41.45,0
1_BEVERAGES,2016-03-23,2208.0,1,BEVERAGES,Quito,Pichincha,D,13,6,38.28,0
1_BEVERAGES,2016-03-24,2653.0,1,BEVERAGES,Quito,Pichincha,D,13,7,38.14,0
1_BEVERAGES,2016-03-25,899.0,1,BEVERAGES,Quito,Pichincha,D,13,4,38.14,1
1_BEVERAGES,2016-03-26,1723.0,1,BEVERAGES,Quito,Pichincha,D,13,8,,0
1_BEVERAGES,2016-03-27,862.0,1,BEVERAGES,Quito,Pichincha,D,13,1,,0
1_BEVERAGES,2016-03-28,1986.0,1,BEVERAGES,Quito,Pichincha,D,13,6,37.99,0
1_BEVERAGES,2016-03-29,2223.0,1,BEVERAGES,Quito,Pichincha,D,13,5,36.91,0
1_BEVERAGES,2016-03-30,2163.0,1,BEVERAGES,Quito,Pichincha,D,13,6,36.91,0
1_BEVERAGES,2016-03-31,2051.0,1,BEVERAGES,Quito,Pichincha,D,13,6,36.94,0
1_BEVERAGES,2016-04-01,2274.0,1,BEVERAGES,Quito,Pichincha,D,13,8,35.36,0
1_BEVERAGES,2016-04-02,2317.0,1,BEVERAGES,Quito,Pichincha,D,13,2,,0
1_BEVERAGES,2016-04-03,1112.0,1,BEVERAGES,Quito,Pichincha,D,13,2,,0
1_BEVERAGES,2016-04-04,2067.0,1,BEVERAGES,Quito,Pichincha,D,13,4,34.3,0
1_BEVERAGES,2016-04-05,1897.0,1,BEVERAGES,Quito,Pichincha,D,13,5,34.52,0
1_BEVERAGES,2016-04-06,2196.0,1,BEVERAGES,Quito,Pichincha,D,13,6,37.74,0
1_BEVERAGES,2016-04-07,2041.0,1,BEVERAGES,Quito,Pichincha,D,13,31,37.3,0
1_BEVERAGES,2016-04-08,2262.0,1,BEVERAGES,Quito,Pichincha,D,13,41,39.74,0
1_BEVERAGES,2016-04-09,2227.0,1,BEVERAGES,Quito,Pichincha,D,13,42,,0
1_BEVERAGES,2016-04-10,1059.0,1,BEVERAGES,Quito,Pichincha,D,13,30,,0
1_BEVERAGES,2016-04-11,2177.0,1,BEVERAGES,Quito,Pichincha,D,13,38,40.46,0
1_BEVERAGES,2016-04-12,1745.0,1,BEVERAGES,Quito,Pichincha,D,13,35,42.12,0
1_BEVERAGES,2016-04-13,2342.0,1,BEVERAGES,Quito,Pichincha,D,13,47,41.7,0
1_BEVERAGES,2016-04-14,1835.0,1,BEVERAGES,Quito,Pichincha,D,13,5,41.45,0
1_BEVERAGES,2016-04-15,2009.0,1,BEVERAGES,Quito,Pichincha,D,13,2,40.4,0
1_BEVERAGES,2016-04-16,2073.0,1,BEVERAGES,Quito,Pichincha,D,13,5,,1
1_BEVERAGES,2016-04-17,1717.0,1,BEVERAGES,Quito,Pichincha,D,13,3,,1
1_BEVERAGES,2016-04-18,4155.0,1,BEVERAGES,Quito,Pichincha,D,13,1,39.74,1
1_BEVERAGES,2016-04-19,5051.0,1,BEVERAGES,Quito,Pichincha,D,13,5,40.88,1
1_BEVERAGES,2016-04-20,4239.0,1,BEVERAGES,Quito,Pichincha,D,13,19,42.72,1
1_BEVERAGES,2016-04-21,2872.0,1,BEVERAGES,Quito,Pichincha,D,13,18,43.18,1
1_BEVERAGES,2016-04-22,2940.0,1,BEVERAGES,Quito,Pichincha,D,13,19,42.76,1
1_BEVERAGES,2016-04-23,2283.0,1,BEVERAGES,Quito,Pichincha,D,13,15,,1
1_BEVERAGES,2016-04-24,1279.0,1,BEVERAGES,Quito,Pichincha,D,13,23,,1
1_BEVERAGES,2016-04-25,1928.0,1,BEVERAGES,Quito,Pichincha,D,13,18,41.67,1
1_BEVERAGES,2016-04-26,2016.0,1,BEVERAGES,Quito,Pichincha,D,13,13,42.52,1
1_BEVERAGES,2016-04-27,2347.0,1,BEVERAGES,Quito,Pichincha,D,13,19,45.29,1
1_BEVERAGES,2016-04-28,2074.0,1,BEVERAGES,Quito,Pichincha,D,13,19,46.03,1
1_BEVERAGES,2016-04-29,2322.0,1,BEVERAGES,Quito,Pichincha,D,13,24,45.98,1
1_BEVERAGES,2016-04-30,2556.0,1,BEVERAGES,Quito,Pichincha,D,13,25,,1
1_BEVERAGES,2016-05-01,1148.0,1,BEVERAGES,Quito,Pichincha,D,13,17,,1
1_BEVERAGES,2016-05-02,2321.0,1,BEVERAGES,Quito,Pichincha,D,13,10,44.75,1
1_BEVERAGES,2016-05-03,1908.0,1,BEVERAGES,Quito,Pichincha,D,13,6,43.65,1
1_BEVERAGES,2016-05-04,2281.0,1,BEVERAGES,Quito,Pichincha,D,13,17,43.77,1
1_BEVERAGES,2016-05-05,2076.0,1,BEVERAGES,Quito,Pichincha,D,13,14,44.33,1
