ds,y,TimeGPT,TimeGPT-hi-70,TimeGPT-lo-70,anomaly
2008-01-10,8.28172399041139,8.224187,8.738977,7.709397,False
2008-01-11,8.29279885820037,8.151533,8.666324,7.636743,False
2008-01-12,8.19918935907807,8.127243,8.642034,7.612453,False
2008-01-13,9.99652241850332,8.917259,9.43205,8.402469,True
2008-01-14,10.1270710070787,9.002326,9.517117,8.487535,True
2008-01-15,8.93379604393486,8.447634,8.962424,7.9328437,False
2008-01-16,8.56617381363786,8.292599,8.807389,7.7778087,False
2008-01-17,8.54772239645106,8.528317,9.043108,8.013527,False
2008-01-18,8.39976009452414,8.498935,9.013725,7.9841447,False
2008-01-19,8.22309055116153,8.472327,8.987118,7.957537,False
2008-01-20,8.83898679349679,9.642538,10.157329,9.127748,True
2008-01-21,10.8972021813751,9.711757,10.226547,9.196966,True
2008-01-22,9.44493807333551,8.764549,9.27934,8.249759,True
2008-01-23,8.92332474406756,8.529474,9.044265,8.014684,False
2008-01-24,8.5434455625603,8.754037,9.268827,8.239246,False
2008-01-25,8.49556089128912,8.6619,9.17669,8.147109,False
2008-01-26,8.41737285613403,8.662641,9.177431,8.14785,False
2008-01-27,8.57262789830434,9.613413,10.128203,9.098622,True
2008-01-28,8.73648935100155,10.001355,10.516146,9.486565,True
2008-01-29,8.63408694288774,9.049613,9.564404,8.534822,False
2008-01-30,8.67351294567119,8.786424,9.301214,8.271633,False
2008-01-31,8.67351294567119,8.566606,9.081396,8.051815,False
2008-02-01,8.82423661734664,8.491961,9.006751,7.9771705,False
2008-02-02,8.53797573059877,8.508492,9.023283,7.9937024,False
2008-02-03,9.69806112202708,8.953523,9.468313,8.438732,True
2008-02-04,12.0974568371517,9.178713,9.693503,8.663922,True
2008-02-05,10.6352783566883,8.787943,9.302733,8.273152,True
2008-02-06,9.69171658751689,8.640604,9.155395,8.1258135,True
2008-02-07,9.31560088263368,9.297235,9.812025,8.782444,False
2008-02-08,8.97081334141145,9.182348,9.697139,8.667558,False
2008-02-09,8.58914169072882,9.123224,9.638015,8.608434,True
2008-02-10,8.61740045183326,9.75661,10.2714,9.241819,True
2008-02-11,8.61631428228404,10.412886,10.927676,9.898095,True
2008-02-12,8.21554741194707,9.541488,10.056278,9.026697,True
2008-02-13,8.06495089174914,9.223546,9.738337,8.7087555,True
2008-02-14,8.11342663994365,8.250907,8.7656975,7.736117,False
2008-02-15,7.79934339821592,8.27969,8.79448,7.7648997,False
2008-02-16,7.6275443904885,8.281927,8.796718,7.767137,True
2008-02-17,7.55590509361135,8.456589,8.971379,7.9417987,True
2008-02-18,7.71154897962915,8.62919,9.143981,8.1144,True
2008-02-19,7.78862606562503,8.487081,9.001871,7.9722905,True
2008-02-20,7.70841066725737,8.388476,8.903267,7.8736863,True
2008-02-21,7.76853330092603,7.7611427,8.275933,7.2463527,False
2008-02-22,7.69530313496357,7.7233825,8.238173,7.2085924,False
2008-02-23,7.37838371299671,7.7065163,8.221307,7.191726,False
2008-02-24,7.91059061225648,7.753915,8.268705,7.239125,False
2008-02-25,7.62657020629066,7.780831,8.295621,7.266041,False
2008-02-26,7.57353126274595,7.766479,8.281269,7.251689,False
2008-02-27,7.56786260546388,7.8048577,8.319648,7.2900677,False
2008-02-28,7.56786260546388,7.628999,8.143789,7.114209,False
2008-02-29,7.5522372875608,7.6081085,8.122899,7.0933185,False
2008-03-01,7.5522372875608,7.5911455,8.105936,7.0763555,False
2008-03-02,7.33693691370762,7.6710653,8.185856,7.1562753,False
