time_group,US dollar
1999,1.0657764478764478
2000,0.9236125490196078
2001,0.8956295275590551
2002,0.945573725490196
2003,1.1311603921568627
2004,1.2439023166023166
2005,1.2440902723735408
2006,1.2555988235294118
2007,1.3704780392156863
2008,1.47075546875
2009,1.394782421875
2010,1.3257166666666667
2011,1.391955252918288
2012,1.284788671875
2013,1.3281180392156862
2014,1.3285007843137255
2015,1.109512890625
2016,1.106903112840467
2017,1.129681176470588
2018,1.1809545098039216
2019,1.1194745098039216
2020,1.1421961089494164
2021,1.1827403100775193
2022,1.0530486381322959
2023,1.0812686274509804
2024,1.08238046875
2025,1.0531784615384614
