ds,actual,forecast_mean,forecast_lo,forecast_hi,anchor_index,type
2025-01-01,2797.55,,,,,observed
2025-01-02,2804.9,,,,,observed
2025-01-03,2801.09,,,,,observed
2025-01-04,2740.24,,,,,observed
2025-01-05,2744.89,,,,,observed
2025-01-06,2811.18,,,,,observed
2025-01-07,2805.05,,,,,observed
2025-01-08,2807.95,,,,,observed
2025-01-09,2811.15,,,,,observed
2025-01-10,2814.34,,,,,observed
2025-01-11,2747.03,,,,,observed
2025-01-12,2751.35,,,,,observed
2025-01-13,2820.69,,,,,observed
2025-01-14,2823.67,,,,,observed
2025-01-15,2824.64,,,,,observed
2025-01-16,2825.52,,,,,observed
2025-01-17,2825.47,,,,,observed
2025-01-18,2761.69,,,,,observed
2025-01-19,2764.64,,,,,observed
2025-01-20,2833.91,,,,,observed
2025-01-21,2833.84,,,,,observed
2025-01-22,2836.57,,,,,observed
2025-01-23,2841.52,,,,,observed
2025-01-24,2841.36,,,,,observed
2025-01-25,2775.48,,,,,observed
2025-01-26,2776.0,,,,,observed
2025-01-27,2846.08,,,,,observed
2025-01-28,2847.07,,,,,observed
2025-01-29,2851.67,,,,,observed
2025-01-30,2853.39,,,,,observed
2025-01-31,2863.25,,,,,observed
2025-02-01,2794.53,,,,,observed
2025-02-02,2793.03,,,,,observed
2025-02-03,2860.05,,,,,observed
2025-02-04,2862.23,,,,,observed
2025-02-05,2870.61,,,,,observed
2025-02-06,2870.38,,,,,observed
2025-02-07,2871.19,,,,,observed
2025-02-08,2797.48,,,,,observed
2025-02-09,2805.54,,,,,observed
2025-02-10,2877.61,,,,,observed
2025-02-11,2877.25,,,,,observed
2025-02-12,2879.19,,,,,observed
2025-02-13,2882.9,,,,,observed
2025-02-14,2884.51,,,,,observed
2025-02-15,2815.1,,,,,observed
2025-02-16,2818.58,,,,,observed
2025-02-17,2891.7,,,,,observed
2025-02-18,2895.55,,,,,observed
2025-02-19,2900.14,,,,,observed
2025-02-20,2894.42,,,,,observed
2025-02-21,2902.04,,,,,observed
2025-02-22,2829.96,,,,,observed
2025-02-23,2831.36,,,,,observed
2025-02-24,2903.25,,,,,observed
2025-02-25,2901.16,,,,,observed
2025-02-26,2906.66,,,,,observed
2025-02-27,2913.99,,,,,observed
2025-02-28,2907.73,,,,,observed
2025-03-01,2842.96,,,,,observed
2025-03-02,2839.44,,,,,observed
2025-03-03,2914.25,,,,,observed
2025-03-04,2914.39,,,,,observed
2025-03-05,2918.72,,,,,observed
2025-03-06,2925.12,,,,,observed
2025-03-07,2926.97,,,,,observed
2025-03-08,2856.3,,,,,observed
2025-03-09,2856.1,,,,,observed
2025-03-10,2932.27,,,,,observed
2025-03-11,2936.36,,,,,observed
2025-03-12,2933.22,,,,,observed
2025-03-13,2933.72,,,,,observed
2025-03-14,2931.58,,,,,observed
2025-03-15,3075.29,,,,,observed
2025-03-16,2860.66,,,,,observed
2025-03-17,2942.11,,,,,observed
2025-03-18,2938.8,,,,,observed
2025-03-19,2944.84,,,,,observed
2025-03-20,2945.9,,,,,observed
2025-03-21,2949.86,,,,,observed
2025-03-22,2875.69,,,,,observed
2025-03-23,2878.36,,,,,observed
2025-03-24,2953.38,,,,,observed
2025-03-25,2949.87,,,,,observed
2025-03-26,2952.43,,,,,observed
2025-03-27,2952.96,,,,,observed
2025-03-28,2955.19,,,,,observed
2025-03-29,2884.45,,,,,observed
2025-03-30,2885.22,,,,,observed
2025-03-31,2962.09,,,,,observed
2025-04-01,2964.57,,,,,observed
2025-04-02,2968.29,,,,,observed
2025-04-03,2966.8,,,,,observed
2025-04-04,2969.56,,,,,observed
2025-04-05,2892.51,,,,,observed
2025-04-06,2893.28,,,,,observed
2025-04-07,2968.89,,,,,observed
2025-04-08,2962.95,,,,,observed
2025-04-09,2970.73,,,,,observed
2025-04-10,2970.29,,,,,observed
2025-04-11,2972.03,,,,,observed
2025-04-12,2900.75,,,,,observed
2025-04-13,2894.4,,,,,observed
2025-04-14,2978.74,,,,,observed
2025-04-15,2981.06,,,,,observed
2025-04-16,2978.11,,,,,observed
2025-04-17,2984.14,,,,,observed
2025-04-18,2983.04,,,,,observed
2025-04-19,2908.61,,,,,observed
2025-04-20,2904.26,,,,,observed
