ds,actual,forecast_mean,forecast_lo,forecast_hi,is_anomaly,type
2025-05-24,2962.76,,,,False,observed
2025-05-25,2962.99,,,,False,observed
2025-05-26,3047.05,,,,False,observed
2025-05-27,3044.15,,,,False,observed
2025-05-28,3043.84,,,,False,observed
2025-05-29,3052.64,,,,False,observed
2025-05-30,3053.71,,,,False,observed
2025-05-31,2972.54,,,,False,observed
2025-06-01,2972.62,,,,False,observed
2025-06-02,3054.13,,,,False,observed
2025-06-03,3056.1,,,,False,observed
2025-06-04,3056.7,,,,False,observed
2025-06-05,3062.91,,,,False,observed
2025-06-06,3062.51,,,,False,observed
2025-06-07,2982.05,,,,False,observed
2025-06-08,2983.45,,,,False,observed
2025-06-09,3069.38,,,,False,observed
2025-06-10,3066.63,,,,False,observed
2025-06-11,3068.66,,,,False,observed
2025-06-12,3073.52,,,,False,observed
2025-06-13,3073.8,,,,False,observed
2025-06-14,2993.1,,,,False,observed
2025-06-15,2987.27,,,,False,observed
2025-06-16,3078.69,,,,False,observed
2025-06-17,3080.96,,,,False,observed
2025-06-18,3080.69,,,,False,observed
2025-06-19,3085.7,,,,False,observed
2025-06-20,3088.89,,,,False,observed
2025-06-21,3002.38,,,,False,observed
2025-06-22,3004.05,,,,False,observed
2025-06-23,3092.16,,,,False,observed
2025-06-24,3091.56,,,,False,observed
2025-06-25,3090.93,,,,False,observed
2025-06-26,3099.09,,,,False,observed
2025-06-27,3098.7,,,,False,observed
2025-06-28,3010.35,,,,False,observed
2025-06-29,3013.07,,,,False,observed
2025-06-30,3104.22,,,,False,observed
2025-07-01,3107.69,,,,False,observed
2025-07-02,3109.6,,,,False,observed
2025-07-03,3116.22,,,,False,observed
2025-07-04,3400.16,,,,False,observed
2025-07-05,3030.08,,,,False,observed
2025-07-06,3035.66,,,,False,observed
2025-07-07,3121.79,,,,False,observed
2025-07-08,3123.49,,,,False,observed
2025-07-09,3127.84,,,,False,observed
2025-07-10,3130.18,,,,False,observed
2025-07-11,3137.09,,,,False,observed
2025-07-12,3044.05,,,,False,observed
2025-07-13,3048.94,,,,False,observed
2025-07-14,3138.43,,,,False,observed
2025-07-15,3138.99,,,,False,observed
2025-07-16,3144.44,,,,False,observed
2025-07-17,3144.09,,,,False,observed
2025-07-18,3146.91,,,,False,observed
2025-07-19,3056.58,,,,False,observed
2025-07-20,3060.87,,,,False,observed
2025-07-21,3154.64,,,,False,observed
2025-07-22,3154.39,,,,False,observed
2025-06-23,3092.16,3091.7056,3080.1768,3103.2344,False,prediction
2025-06-24,3091.56,3094.2856,3082.9246,3105.6467,False,prediction
2025-06-25,3090.93,3091.6946,3089.0032,3094.386,False,prediction
2025-06-26,3099.09,3090.4624,3087.766,3093.1587,False,prediction
2025-06-27,3098.7,3075.7249,3067.215,3084.2346,False,prediction
2025-06-28,3010.35,3000.8835,2978.1238,3023.6433,False,prediction
2025-06-29,3013.07,3002.5193,2979.7468,3025.2917,False,prediction
2025-06-30,3104.22,3102.3508,3091.8164,3112.8853,False,prediction
2025-07-01,3107.69,3106.026,3095.6052,3116.4465,False,prediction
2025-07-02,3109.6,3105.5425,3103.6765,3107.4084,False,prediction
2025-07-03,3116.22,3106.0986,3102.077,3110.1204,False,prediction
2025-07-04,3400.16,3090.042,3080.0117,3100.0723,True,prediction
2025-07-05,3030.08,3113.3618,2807.744,3418.9797,False,prediction
2025-07-06,3035.66,3021.7778,2715.0625,3328.4932,False,prediction
2025-07-07,3121.79,3120.6147,3038.374,3202.8555,False,prediction
2025-07-08,3123.49,3136.1475,3122.456,3149.8389,False,prediction
2025-07-09,3127.84,3123.4873,3111.002,3135.9727,False,prediction
2025-07-10,3130.18,3125.3481,3112.8152,3137.881,False,prediction
2025-07-11,3137.09,3105.8857,3101.061,3110.7104,True,prediction
2025-07-12,3044.05,3025.1113,2994.3025,3055.9202,False,prediction
2025-07-13,3048.94,3032.9644,3001.944,3063.9846,False,prediction
2025-07-14,3138.43,3125.2886,3106.3943,3144.1829,False,prediction
2025-07-15,3138.99,3147.0415,3131.1084,3162.9746,False,prediction
2025-07-16,3144.44,3135.9924,3122.9275,3149.0574,False,prediction
2025-07-17,3144.09,3138.4106,3129.969,3146.8523,False,prediction
2025-07-18,3146.91,3125.6626,3117.2566,3134.0686,False,prediction
2025-07-19,3056.58,3042.0166,3021.0027,3063.0305,False,prediction
2025-07-20,3060.87,3048.7402,3027.5933,3069.8872,False,prediction
2025-07-21,3154.64,3137.4946,3122.9678,3152.0215,False,prediction
2025-07-22,3154.39,3159.415,3142.345,3176.485,False,prediction
