ds,y,TimeGPT,TimeGPT-lo-99,TimeGPT-hi-99,anomaly
2017-06-22 01:00:00,319.6,319.71375,315.07962,324.34787,False
2017-06-22 02:00:00,319.52,319.36737,314.73325,324.0015,False
2017-06-22 03:00:00,317.77,318.2668,313.6327,322.90094,False
2017-06-22 04:00:00,315.15,315.853,311.21887,320.48712,False
2017-06-22 05:00:00,312.7,312.91196,308.27783,317.54608,False
2017-06-22 06:00:00,311.33,310.76794,306.13382,315.40207,False
2017-06-22 07:00:00,309.98,309.09146,304.45734,313.7256,False
2017-06-22 08:00:00,307.57,308.0594,303.42526,312.6935,False
2017-06-22 09:00:00,306.97,307.1138,302.47968,311.74792,False
2017-06-22 10:00:00,305.77,305.8014,301.16727,310.43552,False
2017-06-22 11:00:00,305.19,304.22293,299.5888,308.85706,False
2017-06-22 12:00:00,303.77,303.214,298.57986,307.8481,False
2017-06-22 13:00:00,303.6,302.61993,297.9858,307.25406,False
2017-06-22 14:00:00,303.75,302.88538,298.25125,307.5195,False
2017-06-22 15:00:00,305.63,305.00858,300.37445,309.6427,False
2017-06-22 16:00:00,306.91,307.30917,302.67505,311.9433,False
2017-06-22 17:00:00,308.64,309.44028,304.80615,314.0744,False
2017-06-22 18:00:00,309.93,311.44107,306.80695,316.0752,False
2017-06-22 19:00:00,311.65,313.60342,308.9693,318.23755,False
2017-06-22 20:00:00,312.7,314.9366,310.3025,319.57074,False
2017-06-22 21:00:00,314.25,316.3285,311.69437,320.96262,False
2017-06-22 22:00:00,315.15,317.73013,313.096,322.36426,False
2017-06-22 23:00:00,316.03,318.72766,314.09354,323.3618,False
2017-06-23 00:00:00,316.59,319.00522,314.3711,323.63934,False
2017-06-23 01:00:00,316.92,316.74557,312.11145,321.3797,False
2017-06-23 02:00:00,316.4,316.4665,311.83237,321.10062,False
2017-06-23 03:00:00,315.64,315.33545,310.70132,319.96957,False
2017-06-23 04:00:00,313.27,313.2903,308.6562,317.92444,False
2017-06-23 05:00:00,311.77,311.0833,306.4492,315.71744,False
2017-06-23 06:00:00,309.92,309.47443,304.8403,314.10855,False
2017-06-23 07:00:00,307.99,308.1292,303.4951,312.76334,False
2017-06-23 08:00:00,306.48,306.7269,302.09277,311.36102,False
2017-06-23 09:00:00,305.5,306.049,301.4149,310.68314,False
2017-06-23 10:00:00,304.65,304.92593,300.2918,309.56006,False
2017-06-23 11:00:00,303.64,303.83493,299.2008,308.46906,False
2017-06-23 12:00:00,302.32,302.85077,298.21664,307.4849,False
2017-06-23 13:00:00,302.12,302.29907,297.66495,306.9332,False
2017-06-23 14:00:00,302.24,302.61682,297.9827,307.25095,False
2017-06-23 15:00:00,303.64,304.43137,299.79724,309.0655,False
2017-06-23 16:00:00,305.64,306.3416,301.7075,310.97574,False
2017-06-23 17:00:00,307.15,307.9232,303.28906,312.5573,False
2017-06-23 18:00:00,308.75,309.59976,304.96564,314.2339,False
2017-06-23 19:00:00,310.15,311.30634,306.6722,315.94046,False
2017-06-23 20:00:00,311.55,312.5324,307.8983,317.16653,False
2017-06-23 21:00:00,313.15,314.02634,309.3922,318.66046,False
2017-06-23 22:00:00,314.65,315.24225,310.60812,319.87637,False
2017-06-23 23:00:00,315.54,316.1259,311.49176,320.76,False
2017-06-24 00:00:00,316.65,316.4022,311.76807,321.03632,False
2017-06-24 01:00:00,316.6,316.86435,312.23022,321.49847,False
2017-06-24 02:00:00,316.59,316.54944,311.9153,321.18356,False
2017-06-24 03:00:00,315.48,315.43738,310.80325,320.0715,False
2017-06-24 04:00:00,313.37,313.477,308.84286,318.1111,False
2017-06-24 05:00:00,311.7,311.37628,306.74216,316.0104,False
2017-06-24 06:00:00,309.83,309.5308,304.89667,314.16492,False
2017-06-24 07:00:00,308.45,307.9583,303.3242,312.59244,False
2017-06-24 08:00:00,307.01,306.67487,302.04074,311.309,False
2017-06-24 09:00:00,305.49,305.78397,301.14984,310.4181,False
2017-06-24 10:00:00,304.33,304.85257,300.21844,309.4867,False
2017-06-24 11:00:00,303.15,303.72284,299.0887,308.35696,False
2017-06-24 12:00:00,301.97,302.72943,298.0953,307.36356,False
2017-06-24 13:00:00,302.25,302.33206,297.69794,306.9662,False
2017-06-24 14:00:00,301.56,302.6645,298.03036,307.2986,False
2017-06-24 15:00:00,304.01,304.3541,299.71997,308.98822,False
2017-06-24 16:00:00,306.29,306.13916,301.50504,310.7733,False
2017-06-24 17:00:00,308.44,307.83856,303.20444,312.4727,False
2017-06-24 18:00:00,310.55,309.6918,305.05768,314.32593,False
2017-06-24 19:00:00,312.37,311.42062,306.7865,316.05475,False
2017-06-24 20:00:00,314.26,312.91772,308.2836,317.55185,False
2017-06-24 21:00:00,315.53,314.45374,309.8196,319.08786,False
2017-06-24 22:00:00,316.82,315.69354,311.05942,320.32767,False
2017-06-24 23:00:00,317.77,316.7278,312.0937,321.36194,False
2017-06-25 00:00:00,318.82,317.0716,312.43747,321.70572,False
2017-06-25 01:00:00,318.59,319.01852,314.3844,323.65265,False
2017-06-25 02:00:00,318.52,318.64304,314.0089,323.27716,False
2017-06-25 03:00:00,316.86,317.19006,312.55594,321.8242,False
2017-06-25 04:00:00,314.43,314.71014,310.07602,319.34427,False
2017-06-25 05:00:00,312.15,312.04495,307.41083,316.67908,False
2017-06-25 06:00:00,310.74,310.01996,305.38583,314.65408,False
2017-06-25 07:00:00,309.95,308.26938,303.63525,312.9035,False
2017-06-25 08:00:00,308.81,307.1334,302.49927,311.76752,False
2017-06-25 09:00:00,308.49,305.83847,301.20435,310.4726,False
2017-06-25 10:00:00,307.82,305.03738,300.40326,309.6715,False
2017-06-25 11:00:00,307.65,303.79037,299.15625,308.4245,False
2017-06-25 12:00:00,307.33,302.7325,298.0984,307.36664,False
2017-06-25 13:00:00,306.85,302.50024,297.86612,307.13437,False
2017-06-25 14:00:00,305.25,302.51007,297.87595,307.1442,False
2017-06-25 15:00:00,306.64,304.9211,300.287,309.55524,False
2017-06-25 16:00:00,309.15,307.4166,302.78247,312.05072,False
2017-06-25 17:00:00,311.15,309.5933,304.95917,314.22742,False
2017-06-25 18:00:00,312.65,311.86606,307.23193,316.50018,False
2017-06-25 19:00:00,313.82,313.63608,309.00195,318.2702,False
2017-06-25 20:00:00,315.05,315.13934,310.50522,319.77347,False
2017-06-25 21:00:00,315.94,316.58035,311.94623,321.21448,False
2017-06-25 22:00:00,316.93,317.5311,312.89697,322.16522,False
2017-06-25 23:00:00,317.7,318.49722,313.8631,323.13135,False
2017-06-26 00:00:00,317.9,319.2225,314.58838,323.85663,False
2017-06-26 01:00:00,318.03,317.95084,313.3167,322.58496,False
2017-06-26 02:00:00,317.53,317.71005,313.07593,322.34418,False
2017-06-26 03:00:00,316.89,316.7297,312.09558,321.36383,False
2017-06-26 04:00:00,314.58,314.8713,310.23718,319.50543,False
2017-06-26 05:00:00,312.15,312.91226,308.27814,317.5464,False
2017-06-26 06:00:00,310.47,311.35092,306.7168,315.98505,False
2017-06-26 07:00:00,309.13,310.20462,305.5705,314.83875,False
2017-06-26 08:00:00,307.33,309.19464,304.56052,313.82877,False
2017-06-26 09:00:00,306.66,308.29425,303.66013,312.92838,False
2017-06-26 10:00:00,305.82,307.32407,302.68994,311.9582,False
2017-06-26 11:00:00,305.36,306.345,301.71088,310.97913,False
2017-06-26 12:00:00,304.16,305.55762,300.9235,310.19174,False
2017-06-26 13:00:00,303.71,305.2011,300.567,309.83524,False
2017-06-26 14:00:00,303.81,304.84982,300.2157,309.48395,False
2017-06-26 15:00:00,305.7,306.43237,301.79825,311.0665,False
2017-06-26 16:00:00,306.75,308.37646,303.74234,313.0106,False
2017-06-26 17:00:00,307.93,310.29028,305.65616,314.9244,False
2017-06-26 18:00:00,309.26,311.97647,307.34235,316.6106,False
2017-06-26 19:00:00,310.35,313.53195,308.89783,318.16608,False
2017-06-26 20:00:00,311.81,314.74228,310.10815,319.3764,False
2017-06-26 21:00:00,312.77,316.07245,311.43832,320.70657,False
2017-06-26 22:00:00,314.03,317.0513,312.41718,321.68542,False
2017-06-26 23:00:00,315.04,317.85156,313.21744,322.4857,False
2017-06-27 00:00:00,316.51,318.38245,313.74832,323.01657,False
2017-06-27 01:00:00,316.47,316.84454,312.21042,321.47867,False
2017-06-27 02:00:00,316.27,316.7713,312.13718,321.40543,False
2017-06-27 03:00:00,315.27,315.7027,311.06857,320.33682,False
2017-06-27 04:00:00,313.4,313.62518,308.99106,318.2593,False
2017-06-27 05:00:00,311.42,311.6213,306.98718,316.25543,False
2017-06-27 06:00:00,309.14,309.9975,305.36337,314.63162,False
2017-06-27 07:00:00,307.64,308.70874,304.07462,313.34286,False
2017-06-27 08:00:00,305.83,307.41812,302.784,312.05225,False
2017-06-27 09:00:00,305.49,306.7119,302.0778,311.34604,False
2017-06-27 10:00:00,303.5,305.98404,301.3499,310.61816,False
2017-06-27 11:00:00,302.66,305.28894,300.65482,309.92307,False
2017-06-27 12:00:00,301.82,304.6587,300.02457,309.29282,False
2017-06-27 13:00:00,301.54,304.24854,299.6144,308.88266,False
2017-06-27 14:00:00,302.34,304.18665,299.55252,308.82077,False
2017-06-27 15:00:00,306.85,305.71265,301.07852,310.34677,False
2017-06-27 16:00:00,306.85,307.19016,302.55603,311.82428,False
2017-06-27 17:00:00,309.25,308.5394,303.90527,313.17352,False
2017-06-27 18:00:00,310.65,310.03436,305.40024,314.6685,False
2017-06-27 19:00:00,311.93,311.30048,306.66635,315.9346,False
2017-06-27 20:00:00,313.05,312.87692,308.2428,317.51105,False
2017-06-27 21:00:00,314.35,313.9766,309.34247,318.61072,False
2017-06-27 22:00:00,314.65,315.151,310.51688,319.78513,False
2017-06-27 23:00:00,314.84,316.10117,311.46704,320.7353,False
2017-06-28 00:00:00,315.64,316.8538,312.21967,321.4879,False
2017-06-28 01:00:00,315.14,316.0829,311.44876,320.717,False
2017-06-28 02:00:00,314.94,316.0757,311.4416,320.70984,False
2017-06-28 03:00:00,314.15,314.93872,310.3046,319.57285,False
2017-06-28 04:00:00,311.59,312.86847,308.23434,317.5026,False
2017-06-28 05:00:00,308.84,310.80402,306.1699,315.43814,False
2017-06-28 06:00:00,306.47,309.15533,304.5212,313.78946,False
2017-06-28 07:00:00,305.93,307.65576,303.02164,312.2899,False
2017-06-28 08:00:00,305.16,306.28647,301.65234,310.9206,False
2017-06-28 09:00:00,304.65,305.63867,301.00455,310.2728,False
2017-06-28 10:00:00,302.82,304.43924,299.8051,309.07336,False
2017-06-28 11:00:00,301.67,303.47458,298.84045,308.1087,False
2017-06-28 12:00:00,300.16,302.84006,298.20593,307.47418,False
2017-06-28 13:00:00,299.97,302.51416,297.88004,307.1483,False
2017-06-28 14:00:00,300.25,302.6601,298.02597,307.29422,False
2017-06-28 15:00:00,302.02,305.41736,300.78323,310.05148,False
2017-06-28 16:00:00,304.9,306.9726,302.33847,311.60672,False
2017-06-28 17:00:00,306.65,308.7825,304.14838,313.41663,False
2017-06-28 18:00:00,307.93,310.26645,305.63232,314.90057,False
2017-06-28 19:00:00,309.25,311.39816,306.76404,316.0323,False
2017-06-28 20:00:00,310.64,312.7095,308.07538,317.34363,False
2017-06-28 21:00:00,311.7,313.65704,309.02292,318.29117,False
2017-06-28 22:00:00,312.58,314.4621,309.82797,319.09622,False
2017-06-28 23:00:00,313.58,315.26718,310.63306,319.9013,False
2017-06-29 00:00:00,314.14,316.09506,311.46094,320.7292,False
2017-06-29 01:00:00,313.95,314.18732,309.5532,318.82144,False
2017-06-29 02:00:00,313.85,313.91928,309.28516,318.5534,False
2017-06-29 03:00:00,313.15,312.9562,308.32208,317.59033,False
2017-06-29 04:00:00,311.26,310.92422,306.2901,315.55835,False
2017-06-29 05:00:00,309.44,308.89886,304.26474,313.533,False
2017-06-29 06:00:00,307.92,307.02463,302.3905,311.65875,False
2017-06-29 07:00:00,306.15,305.9074,301.2733,310.54153,False
2017-06-29 08:00:00,305.17,304.88635,300.25223,309.52048,False
2017-06-29 09:00:00,303.67,304.32886,299.69473,308.96298,False
2017-06-29 10:00:00,302.16,303.15054,298.51642,307.78467,False
2017-06-29 11:00:00,300.99,302.17676,297.54263,306.81088,False
2017-06-29 12:00:00,299.82,301.3457,296.71158,305.97983,False
2017-06-29 13:00:00,299.7,301.0774,296.44327,305.71152,False
2017-06-29 14:00:00,299.25,301.3651,296.731,305.99924,False
2017-06-29 15:00:00,301.57,303.37195,298.73782,308.00607,False
2017-06-29 16:00:00,303.77,305.20306,300.56894,309.8372,False
2017-06-29 17:00:00,305.77,306.8212,302.18707,311.45532,False
2017-06-29 18:00:00,309.04,308.48907,303.85495,313.1232,False
2017-06-29 19:00:00,309.04,309.7776,305.14346,314.4117,False
2017-06-29 20:00:00,310.15,311.25858,306.62445,315.8927,False
2017-06-29 21:00:00,311.15,312.4133,307.77917,317.04742,False
2017-06-29 22:00:00,312.15,313.0787,308.44458,317.71283,False
2017-06-29 23:00:00,313.15,313.9742,309.3401,318.60834,False
2017-06-30 00:00:00,313.39,314.46826,309.83414,319.1024,False
2017-06-30 01:00:00,313.93,313.1329,308.49878,317.76703,False
2017-06-30 02:00:00,313.48,312.64877,308.01465,317.2829,False
2017-06-30 03:00:00,312.53,311.66687,307.03275,316.301,False
2017-06-30 04:00:00,311.72,310.0696,305.4355,314.70374,False
2017-06-30 05:00:00,309.48,308.36813,303.734,313.00226,False
2017-06-30 06:00:00,305.77,306.96466,302.33054,311.5988,False
2017-06-30 07:00:00,304.57,305.8573,301.22318,310.49142,False
2017-06-30 08:00:00,304.14,304.6697,300.03558,309.30383,False
2017-06-30 09:00:00,302.82,303.79556,299.16144,308.4297,False
2017-06-30 10:00:00,301.82,302.84122,298.2071,307.47534,False
2017-06-30 11:00:00,301.0,302.3154,297.68127,306.94952,False
2017-06-30 12:00:00,299.12,301.73215,297.09802,306.36627,False
2017-06-30 13:00:00,298.95,301.6935,297.0594,306.32764,False
2017-06-30 14:00:00,300.92,301.86325,297.22913,306.49738,False
2017-06-30 15:00:00,301.27,303.83466,299.20053,308.46878,False
2017-06-30 16:00:00,303.77,305.5915,300.95737,310.22562,False
2017-06-30 17:00:00,305.89,307.27283,302.6387,311.90695,False
2017-06-30 18:00:00,307.77,309.17227,304.53815,313.8064,False
2017-06-30 19:00:00,308.9,310.175,305.54086,314.8091,False
2017-06-30 20:00:00,310.4,311.52625,306.89212,316.16037,False
2017-06-30 21:00:00,311.48,312.61398,307.97986,317.2481,False
2017-06-30 22:00:00,312.4,313.51407,308.87994,318.1482,False
