ds,original_sales,rolling_7_mean,expanding_mean
2024-09-03,234.9204164765965,,234.9204164765965
2024-09-04,214.722130910848,,224.82127369372225
2024-09-05,143.367460669587,,197.67000268567713
2024-09-06,187.88292969753115,,195.22323443864065
2024-09-07,151.34999237324456,,186.44858602556144
2024-09-08,190.18789589209962,,187.07180433665113
2024-09-09,241.74976374423247,194.88294139487704,194.88294139487704
2024-09-10,246.65229452954011,196.55892397386899,201.35411053670992
2024-09-11,214.60043887003008,196.5415393966093,202.82592479596772
2024-09-12,151.06775250664413,197.64158108761745,197.65010756703538
2024-09-13,149.39725724791478,192.1436278805294,193.26348481075166
2024-09-14,187.40605866324,197.29449449338588,192.7753659651257
2024-09-15,215.90840092310023,200.9688523549574,194.55483019266222
2024-09-16,260.0981637990459,203.5900523627879,199.23649687883247
2024-09-17,227.8077963661824,200.89798119659392,201.14125017798912
2024-09-18,191.33066197928193,197.57372735505848,200.52808841556993
2024-09-19,165.36150321355836,199.6156917417605,198.45946575662808
2024-09-20,142.08238835096898,198.57071047076826,195.32740590075812
2024-09-21,172.6493991031612,196.46261624789986,194.13382659562143
2024-09-22,156.1507074057032,187.9258028882717,192.23467063612551
2024-09-23,259.82543765546956,187.88684201061798,195.4532785894276
2024-09-24,235.87195192322528,189.03886423305264,197.29049101369117
2024-09-25,203.58513698550098,190.78950351965537,197.56417127333506
2024-09-26,148.63515411034894,188.40002507633974,195.5254622248773
2024-09-27,108.87075666787996,183.6555062644699,192.05927400259742
2024-09-28,168.2289804129798,183.02401788015825,191.14272424915058
2024-09-29,192.4663593437666,188.21196815702442,191.1917477711734
2024-09-30,204.43521327143552,180.29907895930532,191.66472868189703
2024-10-01,214.13053445353427,177.19316217792087,192.4394116395397
2024-10-02,206.40706439864775,177.59629466551328,192.90500006484334
2024-10-03,203.257672121336,185.39951152422572,193.23895722795598
2024-10-04,137.77606307792223,189.5288410113746,191.5057417857674
2024-10-05,122.70270967137873,183.02508804828872,189.42080141866472
2024-10-06,187.08513871827856,182.25634224464758,189.35210545688867
2024-10-07,225.7799598713061,185.30559175891477,190.3929012973006
2024-10-08,187.09437703597413,181.4432835564062,190.30127562337486
2024-10-09,213.03686105409506,182.39039736432727,190.91575090528622
2024-10-10,166.25855101138066,177.10480863433364,190.26687722386765
2024-10-11,157.8920174014629,179.97851639483946,189.43675261303676
2024-10-12,190.7446906326471,189.69879938930634,189.46945106352703
2024-10-13,215.5313005909515,193.7625367996882,190.10510593004958
2024-10-14,226.85665745515865,193.91635074023858,190.9801428711236
2024-10-15,219.90159171997112,198.60309569509528,191.6527347048177
2024-10-16,266.58995444944435,206.2535376087166,193.35585333537745
2024-10-17,173.06161029583984,207.22540322078223,192.90487015672105
2024-10-18,145.2464759434537,205.41889729820946,191.86881810860652
2024-10-19,154.283066991543,200.21009392090886,191.0691212763286
2024-10-20,197.96169521535808,197.70015029582413,191.21271656672502
2024-10-21,230.34722302777928,198.19880252048418,192.01137996388937
2024-10-22,231.55886975720128,199.86412795437423,192.80232975975562
2024-10-23,205.1855795596403,191.0920743986879,193.0451385793612
2024-10-24,172.22217621123107,190.97215524374383,192.64469699535871
2024-10-25,135.09939468251974,189.52257220646752,191.55893657436175
2024-10-26,141.5086530801991,187.6976559334184,190.632079472618
2024-10-27,197.12860455383785,187.57864298177267,190.75019811045834
2024-10-28,229.13488691784033,187.40545210892424,191.43563898201873
2024-10-29,274.11196966646,193.48446638167547,192.88610092385107
2024-10-30,164.10336221658886,187.615578189811,192.3898468082086
2024-10-31,195.70737865400125,190.9706071102067,192.44607616152712
2024-11-01,171.8895939551479,196.22634986343934,192.10346812475413
2024-11-02,115.29776408557518,192.48193714992163,190.8443582224725
2024-11-03,189.14624811839187,191.3416005162865,190.81696934982602
2024-11-04,227.80561394634097,191.15170437750086,191.40409069262788
2024-11-05,216.8818760004501,182.97597671092802,191.80218108806258
2024-11-06,202.56642463263256,188.47069991321996,191.96778483490215
2024-11-07,152.66572470623643,182.3218922063964,191.3722990753769
2024-11-08,183.013298973668,183.91099292332788,191.247537879829
2024-11-09,176.47913659668671,192.6511889963438,191.0303555080181
2024-11-10,222.4311018998866,197.4061681079859,191.48543878905966
2024-11-11,250.66787254712438,200.67220505095497,192.33090212846056
2024-11-12,223.45107447046092,201.61066197524224,192.76921441496765
2024-11-13,208.63235305885556,202.4772231789884,192.98953578502162
2024-11-14,185.6647328401072,207.19136719811277,192.88919601865294
2024-11-15,124.52533392735559,198.83594362006812,191.96536004444621
2024-11-16,173.02553733718813,198.34257229728263,191.7128290750161
2024-11-17,193.19349203683967,194.1657708882759,191.73231148240853
2024-11-18,229.73801511526705,191.17579125515346,192.22589204906902
2024-11-19,261.25130925887555,196.57582479635553,193.11083329534858
2024-11-20,229.0080246141728,199.4866350185437,193.56522812216917
2024-11-21,169.65791829916822,197.199947226981,193.26638674938164
2024-11-22,173.1544861724797,204.14696897628443,193.018091680531
2024-11-23,138.14430218174175,199.16393538264927,192.3488991256677
2024-11-24,211.31871213888087,201.7532525400837,192.5774510896823
2024-11-25,250.09645642562597,204.66160129870642,193.26220115320547
2024-11-26,241.84118110852614,201.88872584865652,193.83371856444452
2024-11-27,227.64541882929535,201.69406787938829,194.22687786984977
2024-11-28,152.85497008784472,199.2936467063421,193.75133869994167
2024-11-29,169.448430489333,198.76421018017825,193.47516928845747
2024-11-30,157.06752600487926,201.4675278691979,193.0660946448218
2024-12-01,189.54553958961372,198.35707464787401,193.02697736643057
